
Host: node_13

Timers On : Mon Dec 16 15:14:45 2024
Timers Off: Mon Dec 16 15:15:54 2024

Wall Time:       68.85 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.000s      0.220w      1 calls
Libint2ERI::Libint2ERI              :      0.717u      0.000s      0.414w      4 calls
JK: (A|Q)^-1                        :      8.533u      0.633s      5.179w      1 calls
JK: (A|mn)                          :      9.583u      0.000s      5.737w      4 calls
JK: (Q|mn)                          :     11.817u      0.017s      7.099w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.517s      0.321w      4 calls
HF: Form core H                     :      0.683u      0.000s      0.415w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.030w      1 calls
HF: Guess                           :      0.117u      0.000s      0.066w      1 calls
SAD Guess                           :      0.100u      0.000s      0.064w      1 calls
HF: Form G                          :     69.833u      6.933s     46.141w     11 calls
JK: D                               :      0.000u      0.000s      0.007w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     69.833u      6.933s     46.125w     11 calls
JK: (Q|mn) Read                     :      0.117u      4.383s      2.693w     56 calls
JK: J                               :      3.133u      0.083s      1.896w     56 calls
JK: J1                              :      1.567u      0.067s      0.945w     56 calls
JK: J2                              :      1.500u      0.000s      0.914w     56 calls
JK: K                               :     65.983u      0.000s     39.629w     56 calls
JK: K1                              :     50.050u      0.000s     30.022w     56 calls
JK: K2                              :     15.917u      0.000s      9.593w     56 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.033s      0.007w     11 calls
HF: Form D                          :      0.000u      0.017s      0.005w     11 calls
HF: DIIS                            :      0.550u      0.150s      0.595w     10 calls
HF: Form C                          :      0.367u      0.017s      0.237w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.367u      0.000s      0.220w      1 calls
| Libint2ERI::Libint2ERI            :      0.250u      0.000s      0.144w      1 calls
Libint2ERI::Libint2ERI              :      0.467u      0.000s      0.270w      2 calls
JK: (A|Q)^-1                        :      8.533u      0.633s      5.179w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      9.583u      0.000s      5.737w      4 calls
