
Host: node_13

Timers On : Mon Dec 16 20:24:22 2024
Timers Off: Mon Dec 16 20:25:31 2024

Wall Time:       68.99 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.017s      0.230w      1 calls
Libint2ERI::Libint2ERI              :      0.683u      0.017s      0.411w      4 calls
JK: (A|Q)^-1                        :      8.550u      0.667s      5.210w      1 calls
JK: (A|mn)                          :      9.833u      0.000s      5.895w      4 calls
JK: (Q|mn)                          :     11.767u      0.000s      7.056w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.533s      0.324w      4 calls
HF: Form core H                     :      0.700u      0.017s      0.432w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.030w      1 calls
HF: Guess                           :      0.117u      0.000s      0.068w      1 calls
SAD Guess                           :      0.100u      0.000s      0.065w      1 calls
HF: Form G                          :     69.667u      7.067s     46.056w     11 calls
JK: D                               :      0.017u      0.000s      0.006w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     69.650u      7.050s     46.040w     11 calls
JK: (Q|mn) Read                     :      0.033u      4.450s      2.694w     56 calls
JK: J                               :      3.150u      0.033s      1.896w     56 calls
JK: J1                              :      1.567u      0.000s      0.952w     56 calls
JK: J2                              :      1.517u      0.000s      0.908w     56 calls
JK: K                               :     65.900u      0.000s     39.548w     56 calls
JK: K1                              :     49.800u      0.000s     29.912w     56 calls
JK: K2                              :     16.083u      0.000s      9.623w     56 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.007w     11 calls
HF: Form D                          :      0.000u      0.000s      0.005w     11 calls
HF: DIIS                            :      0.500u      0.200s      0.595w     10 calls
HF: Form C                          :      0.400u      0.000s      0.244w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.367u      0.017s      0.230w      1 calls
| Libint2ERI::Libint2ERI            :      0.217u      0.017s      0.143w      1 calls
Libint2ERI::Libint2ERI              :      0.467u      0.000s      0.267w      2 calls
JK: (A|Q)^-1                        :      8.550u      0.667s      5.210w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      9.833u      0.000s      5.895w      4 calls
JK: (Q|mn)                          :     11.767u      0.000s      7.056w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.533s      0.324w      4 calls
HF: Form core H                     :      0.700u      0.017s      0.432w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.030w      1 calls
HF: Guess                           :      0.117u      0.000s      0.068w      1 calls
| SAD Guess                         :      0.100u      0.000s      0.065w      1 calls
HF: Form G                          :     69.667u      7.067s     46.056w     11 calls
| JK: D                             :      0.017u      0.000s      0.006w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     69.650u      7.050s     46.040w     11 calls
| | JK: (Q|mn) Read                 :      0.033u      4.450s      2.694w     56 calls
| | JK: J                           :      3.150u      0.033s      1.896w     56 calls
| | | JK: J1                        :      1.567u      0.000s      0.952w     56 calls
| | | JK: J2                        :      1.517u      0.000s      0.908w     56 calls
| | JK: K                           :     65.900u      0.000s     39.548w     56 calls
| | | JK: K1                        :     49.800u      0.000s     29.912w     56 calls
| | | JK: K2                        :     16.083u      0.000s      9.623w     56 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.007w     11 calls
HF: Form D                          :      0.000u      0.000s      0.005w     11 calls
HF: DIIS                            :      0.500u      0.200s      0.595w     10 calls
HF: Form C                          :      0.400u      0.000s      0.244w     10 calls

**************************************************************************************

Host: node_13

Timers On : Mon Dec 16 20:25:32 2024
Timers Off: Mon Dec 16 20:26:32 2024

Wall Time:       60.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.017s      0.233w      1 calls
Libint2ERI::Libint2ERI              :      0.733u      0.017s      0.428w      4 calls
JK: (A|Q)^-1                        :      8.483u      0.750s      5.165w      1 calls
JK: (A|mn)                          :      9.650u      0.000s      5.788w      4 calls
JK: (Q|mn)                          :     11.417u      0.000s      6.868w      4 calls
JK: (Q|mn) Write                    :      0.017u      0.533s      0.321w      4 calls
HF: Form core H                     :      0.717u      0.000s      0.430w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.034w      1 calls
HF: Guess                           :      0.117u      0.000s      0.067w      1 calls
SAD Guess                           :      0.117u      0.000s      0.064w      1 calls
HF: Form G                          :     55.583u      6.583s     37.321w     10 calls
JK: D                               :      0.017u      0.000s      0.006w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :     55.567u      6.567s     37.306w     10 calls
