
Host: node_13

Timers On : Mon Dec 16 21:11:08 2024
Timers Off: Mon Dec 16 21:13:09 2024

Wall Time:      121.19 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.000s      0.219w      1 calls
Libint2ERI::Libint2ERI              :      1.167u      0.000s      0.700w      8 calls
JK: (A|Q)^-1                        :      8.583u      0.683s      5.222w      1 calls
JK: (A|mn)                          :      9.667u      0.000s      5.792w      4 calls
JK: (Q|mn)                          :     11.750u      0.000s      7.054w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.517s      0.321w      4 calls
HF: Form core H                     :      0.667u      0.017s      0.412w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.031w      1 calls
HF: Guess                           :      0.100u      0.000s      0.068w      1 calls
SAD Guess                           :      0.100u      0.000s      0.065w      1 calls
HF: Form G                          :    100.633u     10.233s     66.621w     16 calls
JK: D                               :      0.000u      0.000s      0.010w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     16 calls
JK: JK                              :    100.633u     10.233s     66.598w     16 calls
JK: (Q|mn) Read                     :      0.067u      6.417s      3.936w     81 calls
JK: J                               :      4.450u      0.133s      2.756w     81 calls
JK: J1                              :      2.183u      0.100s      1.382w     81 calls
JK: J2                              :      2.150u      0.017s      1.322w     81 calls
JK: K                               :     95.283u      0.017s     57.158w     81 calls
JK: K1                              :     72.267u      0.000s     43.373w     81 calls
JK: K2                              :     23.000u      0.017s     13.766w     81 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls
HF: Form F                          :      0.033u      0.000s      0.009w     16 calls
HF: Form D                          :      0.017u      0.000s      0.007w     16 calls
HF: DIIS                            :      0.633u      0.183s      0.700w     15 calls
HF: Form C                          :      0.617u      0.000s      0.353w     15 calls
Grad: V T Perturb                   :      1.017u      0.000s      0.607w      1 calls
Grad: S                             :      0.033u      0.000s      0.020w      1 calls
Grad: JK                            :     50.083u      1.467s     30.945w      1 calls
JKGrad: Amn                         :     14.250u      0.350s      8.769w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     10.117u      0.450s      6.341w      1 calls
JKGrad: UV                          :      1.750u      0.333s      1.250w      1 calls
JKGrad: ABx                         :      0.350u      0.067s      0.242w      1 calls
JKGrad: Amnx                        :     23.600u      0.267s     14.328w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.367u      0.000s      0.219w      1 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.000s      0.143w      1 calls
Libint2ERI::Libint2ERI              :      0.467u      0.000s      0.268w      2 calls
JK: (A|Q)^-1                        :      8.583u      0.683s      5.222w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      9.667u      0.000s      5.792w      4 calls
JK: (Q|mn)                          :     11.750u      0.000s      7.054w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.517s      0.321w      4 calls
HF: Form core H                     :      0.667u      0.017s      0.412w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.031w      1 calls
HF: Guess                           :      0.100u      0.000s      0.068w      1 calls
| SAD Guess                         :      0.100u      0.000s      0.065w      1 calls
HF: Form G                          :    100.633u     10.233s     66.621w     16 calls
| JK: D                             :      0.000u      0.000s      0.010w     16 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     16 calls
| JK: JK                            :    100.633u     10.233s     66.598w     16 calls
| | JK: (Q|mn) Read                 :      0.067u      6.417s      3.936w     81 calls
| | JK: J                           :      4.450u      0.133s      2.756w     81 calls
