
Host: node_13

Timers On : Tue Dec 17 10:02:24 2024
Timers Off: Tue Dec 17 10:04:13 2024

Wall Time:      109.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.333u      0.033s      0.226w      1 calls
Libint2ERI::Libint2ERI              :      1.167u      0.017s      0.709w      8 calls
JK: (A|Q)^-1                        :      8.467u      0.683s      5.162w      1 calls
JK: (A|mn)                          :      9.583u      0.000s      5.748w      4 calls
JK: (Q|mn)                          :     11.583u      0.000s      6.953w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.533s      0.321w      4 calls
HF: Form core H                     :      0.700u      0.000s      0.425w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.031w      1 calls
HF: Guess                           :      0.117u      0.000s      0.069w      1 calls
SAD Guess                           :      0.117u      0.000s      0.066w      1 calls
HF: Form G                          :     80.933u      9.533s     54.733w     15 calls
JK: D                               :      0.000u      0.000s      0.009w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     80.933u      9.533s     54.711w     15 calls
JK: (Q|mn) Read                     :      0.150u      5.950s      3.657w     76 calls
JK: J                               :      4.383u      0.083s      2.702w     76 calls
JK: J1                              :      2.267u      0.050s      1.360w     76 calls
JK: J2                              :      2.067u      0.000s      1.292w     76 calls
JK: K                               :     75.717u      0.000s     45.429w     76 calls
JK: K1                              :     53.717u      0.000s     32.191w     76 calls
JK: K2                              :     21.983u      0.000s     13.220w     76 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.009w     15 calls
HF: Form D                          :      0.017u      0.000s      0.007w     15 calls
HF: DIIS                            :      0.567u      0.200s      0.665w     14 calls
HF: Form C                          :      0.533u      0.017s      0.335w     14 calls
Grad: V T Perturb                   :      0.983u      0.000s      0.593w      1 calls
Grad: S                             :      0.033u      0.000s      0.020w      1 calls
Grad: JK                            :     50.933u      1.433s     31.444w      1 calls
JKGrad: Amn                         :     14.117u      0.300s      8.653w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     10.800u      0.433s      6.744w      1 calls
JKGrad: UV                          :      1.783u      0.333s      1.277w      1 calls
JKGrad: ABx                         :      0.350u      0.083s      0.248w      1 calls
JKGrad: Amnx                        :     23.883u      0.267s     14.506w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.333u      0.033s      0.226w      1 calls
| Libint2ERI::Libint2ERI            :      0.217u      0.017s      0.147w      1 calls
