
Host: node_13

Timers On : Wed Jan 15 14:23:44 2025
Timers Off: Wed Jan 15 14:25:15 2025

Wall Time:       90.20 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.300u      0.017s      0.194w      1 calls
Libint2ERI::Libint2ERI              :      0.983u      0.017s      0.614w      8 calls
JK: (A|Q)^-1                        :      6.333u      0.567s      3.877w      1 calls
JK: (A|mn)                          :      7.567u      0.017s      4.556w      3 calls
JK: (Q|mn)                          :      9.217u      0.033s      5.555w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.450s      0.271w      3 calls
HF: Form core H                     :      0.500u      0.017s      0.317w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.025w      1 calls
HF: Guess                           :      0.117u      0.000s      0.075w      1 calls
SAD Guess                           :      0.117u      0.000s      0.072w      1 calls
HF: Form G                          :     67.800u      9.100s     46.339w     15 calls
JK: D                               :      0.033u      0.000s      0.007w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     67.733u      9.083s     46.321w     15 calls
JK: (Q|mn) Read                     :      0.067u      5.017s      3.069w     61 calls
JK: J                               :      3.467u      0.100s      2.115w     61 calls
JK: J1                              :      1.783u      0.050s      1.062w     61 calls
JK: J2                              :      1.650u      0.017s      1.010w     61 calls
JK: K                               :     63.633u      0.083s     38.252w     61 calls
JK: K1                              :     47.800u      0.083s     28.713w     61 calls
JK: K2                              :     15.817u      0.000s      9.527w     61 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.007w     15 calls
HF: Form D                          :      0.017u      0.000s      0.006w     15 calls
HF: DIIS                            :      0.583u      0.167s      0.599w     14 calls
HF: Form C                          :      0.433u      0.000s      0.282w     14 calls
Grad: V T Perturb                   :      0.750u      0.000s      0.449w      1 calls
Grad: S                             :      0.017u      0.000s      0.017w      1 calls
Grad: JK                            :     40.050u      1.450s     24.913w      1 calls
JKGrad: Amn                         :     11.517u      0.350s      7.116w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      7.717u      0.350s      4.838w      1 calls
JKGrad: UV                          :      1.283u      0.333s      0.979w      1 calls
JKGrad: ABx                         :      0.283u      0.067s      0.208w      1 calls
JKGrad: Amnx                        :     19.250u      0.333s     11.759w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.300u      0.017s      0.194w      1 calls
| Libint2ERI::Libint2ERI            :      0.200u      0.017s      0.128w      1 calls
Libint2ERI::Libint2ERI              :      0.367u      0.000s      0.235w      2 calls
JK: (A|Q)^-1                        :      6.333u      0.567s      3.877w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      7.567u      0.017s      4.556w      3 calls
JK: (Q|mn)                          :      9.217u      0.033s      5.555w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.450s      0.271w      3 calls
HF: Form core H                     :      0.500u      0.017s      0.317w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.025w      1 calls
HF: Guess                           :      0.117u      0.000s      0.075w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.072w      1 calls
HF: Form G                          :     67.800u      9.100s     46.339w     15 calls
| JK: D                             :      0.033u      0.000s      0.007w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :     67.733u      9.083s     46.321w     15 calls
| | JK: (Q|mn) Read                 :      0.067u      5.017s      3.069w     61 calls
| | JK: J                           :      3.467u      0.100s      2.115w     61 calls
| | | JK: J1                        :      1.783u      0.050s      1.062w     61 calls
| | | JK: J2                        :      1.650u      0.017s      1.010w     61 calls
| | JK: K                           :     63.633u      0.083s     38.252w     61 calls
| | | JK: K1                        :     47.800u      0.083s     28.713w     61 calls
| | | JK: K2                        :     15.817u      0.000s      9.527w     61 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.007w     15 calls
HF: Form D                          :      0.017u      0.000s      0.006w     15 calls
HF: DIIS                            :      0.583u      0.167s      0.599w     14 calls
HF: Form C                          :      0.433u      0.000s      0.282w     14 calls
Grad: V T Perturb                   :      0.750u      0.000s      0.449w      1 calls
Grad: S                             :      0.017u      0.000s      0.017w      1 calls
Grad: JK                            :     40.050u      1.450s     24.913w      1 calls
| JKGrad: Amn                       :     11.517u      0.350s      7.116w      1 calls
