
Host: node_13

Timers On : Wed Jan 15 15:15:52 2025
Timers Off: Wed Jan 15 15:17:22 2025

Wall Time:       89.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.317u      0.000s      0.195w      1 calls
Libint2ERI::Libint2ERI              :      1.000u      0.000s      0.606w      8 calls
JK: (A|Q)^-1                        :      6.417u      0.600s      3.922w      1 calls
JK: (A|mn)                          :      7.467u      0.033s      4.496w      3 calls
JK: (Q|mn)                          :      9.067u      0.033s      5.466w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.467s      0.278w      3 calls
HF: Form core H                     :      0.533u      0.017s      0.318w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.026w      1 calls
HF: Guess                           :      0.100u      0.017s      0.070w      1 calls
SAD Guess                           :      0.100u      0.017s      0.067w      1 calls
HF: Form G                          :     67.017u      9.417s     45.905w     15 calls
JK: D                               :      0.000u      0.000s      0.007w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     67.000u      9.417s     45.887w     15 calls
JK: (Q|mn) Read                     :      0.033u      5.317s      3.254w     61 calls
JK: J                               :      3.467u      0.150s      2.059w     61 calls
JK: J1                              :      1.767u      0.117s      1.036w     61 calls
JK: J2                              :      1.633u      0.017s      0.982w     61 calls
JK: K                               :     62.650u      0.083s     37.717w     61 calls
JK: K1                              :     46.817u      0.067s     28.220w     61 calls
JK: K2                              :     15.817u      0.017s      9.485w     61 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.017u      0.000s      0.007w     15 calls
HF: Form D                          :      0.000u      0.000s      0.006w     15 calls
HF: DIIS                            :      0.500u      0.100s      0.589w     14 calls
HF: Form C                          :      0.483u      0.000s      0.272w     14 calls
Grad: V T Perturb                   :      0.750u      0.000s      0.446w      1 calls
Grad: S                             :      0.017u      0.000s      0.017w      1 calls
Grad: JK                            :     39.467u      1.483s     24.756w      1 calls
JKGrad: Amn                         :     11.450u      0.367s      7.096w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      7.617u      0.383s      4.792w      1 calls
JKGrad: UV                          :      1.250u      0.317s      0.946w      1 calls
JKGrad: ABx                         :      0.283u      0.067s      0.209w      1 calls
JKGrad: Amnx                        :     18.867u      0.333s     11.526w      1 calls
