
Host: node_13

Timers On : Wed Jan 15 15:23:40 2025
Timers Off: Wed Jan 15 15:24:33 2025

Wall Time:       52.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.317u      0.017s      0.195w      1 calls
Libint2ERI::Libint2ERI              :      0.583u      0.017s      0.365w      4 calls
JK: (A|Q)^-1                        :      6.350u      0.550s      3.857w      1 calls
JK: (A|mn)                          :      7.533u      0.033s      4.548w      3 calls
JK: (Q|mn)                          :      9.050u      0.017s      5.441w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.467s      0.277w      3 calls
HF: Form core H                     :      0.533u      0.000s      0.322w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.025w      1 calls
HF: Guess                           :      0.117u      0.017s      0.070w      1 calls
SAD Guess                           :      0.117u      0.017s      0.068w      1 calls
HF: Form G                          :     49.833u      7.333s     34.538w     11 calls
JK: D                               :      0.000u      0.000s      0.005w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     49.833u      7.333s     34.525w     11 calls
JK: (Q|mn) Read                     :      0.067u      4.017s      2.432w     45 calls
JK: J                               :      2.517u      0.067s      1.536w     45 calls
JK: J1                              :      1.267u      0.050s      0.773w     45 calls
JK: J2                              :      1.200u      0.017s      0.732w     45 calls
JK: K                               :     46.750u      0.150s     28.169w     45 calls
JK: K1                              :     34.983u      0.117s     21.075w     45 calls
JK: K2                              :     11.750u      0.033s      7.086w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.005w     11 calls
HF: Form D                          :      0.000u      0.000s      0.004w     11 calls
HF: DIIS                            :      0.450u      0.117s      0.575w     10 calls
HF: Form C                          :      0.350u      0.000s      0.197w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.317u      0.017s      0.195w      1 calls
| Libint2ERI::Libint2ERI            :      0.200u      0.017s      0.128w      1 calls
Libint2ERI::Libint2ERI              :      0.383u      0.000s      0.237w      2 calls
JK: (A|Q)^-1                        :      6.350u      0.550s      3.857w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      7.533u      0.033s      4.548w      3 calls
JK: (Q|mn)                          :      9.050u      0.017s      5.441w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.467s      0.277w      3 calls
HF: Form core H                     :      0.533u      0.000s      0.322w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.025w      1 calls
HF: Guess                           :      0.117u      0.017s      0.070w      1 calls
| SAD Guess                         :      0.117u      0.017s      0.068w      1 calls
HF: Form G                          :     49.833u      7.333s     34.538w     11 calls
| JK: D                             :      0.000u      0.000s      0.005w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     49.833u      7.333s     34.525w     11 calls
| | JK: (Q|mn) Read                 :      0.067u      4.017s      2.432w     45 calls
| | JK: J                           :      2.517u      0.067s      1.536w     45 calls
| | | JK: J1                        :      1.267u      0.050s      0.773w     45 calls
| | | JK: J2                        :      1.200u      0.017s      0.732w     45 calls
| | JK: K                           :     46.750u      0.150s     28.169w     45 calls
| | | JK: K1                        :     34.983u      0.117s     21.075w     45 calls
| | | JK: K2                        :     11.750u      0.033s      7.086w     45 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.005w     11 calls
HF: Form D                          :      0.000u      0.000s      0.004w     11 calls
HF: DIIS                            :      0.450u      0.117s      0.575w     10 calls
HF: Form C                          :      0.350u      0.000s      0.197w     10 calls

**************************************************************************************

Host: node_13

Timers On : Wed Jan 15 15:24:33 2025
Timers Off: Wed Jan 15 15:25:30 2025

Wall Time:       56.95 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.300u      0.033s      0.194w      1 calls
Libint2ERI::Libint2ERI              :      0.583u      0.033s      0.366w      4 calls
JK: (A|Q)^-1                        :      6.583u      0.600s      4.012w      1 calls
JK: (A|mn)                          :      7.867u      0.017s      4.734w      3 calls
JK: (Q|mn)                          :      9.400u      0.033s      5.670w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.483s      0.285w      3 calls
HF: Form core H                     :      0.550u      0.000s      0.322w      1 calls
HF: Form S/X                        :      0.017u      0.017s      0.025w      1 calls
HF: Guess                           :      0.117u      0.000s      0.071w      1 calls
SAD Guess                           :      0.117u      0.000s      0.068w      1 calls
HF: Form G                          :     56.567u      7.400s     38.451w     11 calls
JK: D                               :      0.000u      0.000s      0.005w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     56.550u      7.400s     38.438w     11 calls
JK: (Q|mn) Read                     :      0.050u      4.083s      2.507w     45 calls
JK: J                               :      2.617u      0.067s      1.578w     45 calls
JK: J1                              :      1.283u      0.050s      0.800w     45 calls
JK: J2                              :      1.267u      0.000s      0.746w     45 calls
JK: K                               :     53.367u      0.183s     32.161w     45 calls
JK: K1                              :     41.467u      0.133s     24.988w     45 calls
JK: K2                              :     11.900u      0.050s      7.164w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.017u      0.000s      0.005w     11 calls
HF: Form D                          :      0.000u      0.000s      0.004w     11 calls
HF: DIIS                            :      0.500u      0.083s      0.484w     10 calls
HF: Form C                          :      0.300u      0.000s      0.196w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.300u      0.033s      0.194w      1 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.033s      0.127w      1 calls
Libint2ERI::Libint2ERI              :      0.400u      0.000s      0.238w      2 calls
