
Host: node_13

Timers On : Thu Jan 16 09:07:51 2025
Timers Off: Thu Jan 16 09:09:22 2025

Wall Time:       90.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.333u      0.000s      0.202w      1 calls
Libint2ERI::Libint2ERI              :      1.050u      0.000s      0.614w      8 calls
JK: (A|Q)^-1                        :      6.317u      0.583s      4.070w      1 calls
JK: (A|mn)                          :      7.550u      0.000s      4.552w      3 calls
JK: (Q|mn)                          :      9.067u      0.050s      5.450w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.433s      0.261w      3 calls
HF: Form core H                     :      0.533u      0.000s      0.321w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.026w      1 calls
HF: Guess                           :      0.117u      0.000s      0.070w      1 calls
SAD Guess                           :      0.100u      0.000s      0.067w      1 calls
HF: Form G                          :     66.900u      9.233s     46.282w     15 calls
JK: D                               :      0.000u      0.000s      0.007w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     66.883u      9.217s     46.264w     15 calls
JK: (Q|mn) Read                     :      0.067u      5.017s      3.075w     61 calls
JK: J                               :      3.333u      0.100s      2.045w     61 calls
JK: J1                              :      1.650u      0.050s      1.040w     61 calls
JK: J2                              :      1.617u      0.000s      0.964w     61 calls
JK: K                               :     62.717u      0.233s     37.800w     61 calls
JK: K1                              :     46.967u      0.150s     28.311w     61 calls
JK: K2                              :     15.733u      0.083s      9.478w     61 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.033u      0.000s      0.007w     15 calls
HF: Form D                          :      0.000u      0.000s      0.006w     15 calls
HF: DIIS                            :      0.483u      0.200s      0.670w     14 calls
HF: Form C                          :      0.450u      0.000s      0.274w     14 calls
Grad: V T Perturb                   :      0.783u      0.000s      0.465w      1 calls
Grad: S                             :      0.017u      0.000s      0.017w      1 calls
Grad: JK                            :     39.400u      1.483s     24.542w      1 calls
JKGrad: Amn                         :     11.433u      0.367s      7.077w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      7.567u      0.333s      4.747w      1 calls
JKGrad: UV                          :      1.267u      0.300s      0.943w      1 calls
JKGrad: ABx                         :      0.267u      0.083s      0.212w      1 calls
JKGrad: Amnx                        :     18.867u      0.383s     11.549w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.333u      0.000s      0.202w      1 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.000s      0.135w      1 calls
Libint2ERI::Libint2ERI              :      0.400u      0.000s      0.236w      2 calls
JK: (A|Q)^-1                        :      6.317u      0.583s      4.070w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      7.550u      0.000s      4.552w      3 calls
JK: (Q|mn)                          :      9.067u      0.050s      5.450w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.433s      0.261w      3 calls
HF: Form core H                     :      0.533u      0.000s      0.321w      1 calls
