
Host: node_13

Timers On : Thu Jan 16 13:21:08 2025
Timers Off: Thu Jan 16 13:23:11 2025

Wall Time:      122.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.400u      0.017s      0.248w      1 calls
Libint2ERI::Libint2ERI              :      1.317u      0.017s      0.796w      8 calls
JK: (A|Q)^-1                        :      9.233u      0.783s      5.662w      1 calls
JK: (A|mn)                          :      9.817u      0.033s      5.892w      4 calls
JK: (Q|mn)                          :     13.183u      0.000s      7.925w      4 calls
JK: (Q|mn) Write                    :      0.033u      0.533s      0.345w      4 calls
HF: Form core H                     :      0.700u      0.000s      0.431w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.034w      1 calls
HF: Guess                           :      0.100u      0.017s      0.071w      1 calls
SAD Guess                           :      0.100u      0.017s      0.069w      1 calls
HF: Form G                          :     94.967u     10.317s     63.502w     15 calls
JK: D                               :      0.000u      0.000s      0.010w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     94.967u     10.300s     63.479w     15 calls
JK: (Q|mn) Read                     :      0.133u      6.517s      4.008w     76 calls
JK: J                               :      4.467u      0.083s      2.726w     76 calls
JK: J1                              :      2.200u      0.067s      1.380w     76 calls
JK: J2                              :      2.133u      0.000s      1.280w     76 calls
JK: K                               :     89.517u      0.050s     53.760w     76 calls
JK: K1                              :     63.633u      0.017s     38.211w     76 calls
JK: K2                              :     25.833u      0.033s     15.531w     76 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.033u      0.000s      0.009w     15 calls
HF: Form D                          :      0.000u      0.000s      0.008w     15 calls
HF: DIIS                            :      0.633u      0.167s      0.648w     14 calls
HF: Form C                          :      0.633u      0.000s      0.386w     14 calls
Grad: V T Perturb                   :      1.033u      0.000s      0.620w      1 calls
Grad: S                             :      0.033u      0.000s      0.021w      1 calls
Grad: JK                            :     54.550u      1.667s     33.742w      1 calls
JKGrad: Amn                         :     15.417u      0.333s      9.455w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     11.400u      0.450s      7.109w      1 calls
JKGrad: UV                          :      2.150u      0.417s      1.535w      1 calls
JKGrad: ABx                         :      0.417u      0.117s      0.319w      1 calls
JKGrad: Amnx                        :     25.167u      0.317s     15.306w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.400u      0.017s      0.248w      1 calls
| Libint2ERI::Libint2ERI            :      0.250u      0.017s      0.161w      1 calls
Libint2ERI::Libint2ERI              :      0.500u      0.000s      0.302w      2 calls
JK: (A|Q)^-1                        :      9.233u      0.783s      5.662w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      9.817u      0.033s      5.892w      4 calls
JK: (Q|mn)                          :     13.183u      0.000s      7.925w      4 calls
JK: (Q|mn) Write                    :      0.033u      0.533s      0.345w      4 calls
HF: Form core H                     :      0.700u      0.000s      0.431w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.034w      1 calls
HF: Guess                           :      0.100u      0.017s      0.071w      1 calls
| SAD Guess                         :      0.100u      0.017s      0.069w      1 calls
HF: Form G                          :     94.967u     10.317s     63.502w     15 calls
| JK: D                             :      0.000u      0.000s      0.010w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :     94.967u     10.300s     63.479w     15 calls
| | JK: (Q|mn) Read                 :      0.133u      6.517s      4.008w     76 calls
| | JK: J                           :      4.467u      0.083s      2.726w     76 calls
| | | JK: J1                        :      2.200u      0.067s      1.380w     76 calls
| | | JK: J2                        :      2.133u      0.000s      1.280w     76 calls
| | JK: K                           :     89.517u      0.050s     53.760w     76 calls
| | | JK: K1                        :     63.633u      0.017s     38.211w     76 calls
| | | JK: K2                        :     25.833u      0.033s     15.531w     76 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.033u      0.000s      0.009w     15 calls
HF: Form D                          :      0.000u      0.000s      0.008w     15 calls
HF: DIIS                            :      0.633u      0.167s      0.648w     14 calls
HF: Form C                          :      0.633u      0.000s      0.386w     14 calls
Grad: V T Perturb                   :      1.033u      0.000s      0.620w      1 calls
Grad: S                             :      0.033u      0.000s      0.021w      1 calls
Grad: JK                            :     54.550u      1.667s     33.742w      1 calls
| JKGrad: Amn                       :     15.417u      0.333s      9.455w      1 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.156w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :     11.400u      0.450s      7.109w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      2.150u      0.417s      1.535w      1 calls
| JKGrad: ABx                       :      0.417u      0.117s      0.319w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      1 calls
| JKGrad: Amnx                      :     25.167u      0.317s     15.306w      1 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.000s      0.176w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: node_13

Timers On : Thu Jan 16 13:23:11 2025
Timers Off: Thu Jan 16 13:25:18 2025

Wall Time:      126.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.400u      0.017s      0.250w      1 calls
Libint2ERI::Libint2ERI              :      1.367u      0.017s      0.822w      8 calls
JK: (A|Q)^-1                        :      9.200u      0.767s      5.637w      1 calls
JK: (A|mn)                          :     10.150u      0.083s      6.132w      4 calls
JK: (Q|mn)                          :     13.633u      0.067s      8.233w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.600s      0.356w      4 calls
HF: Form core H                     :      0.717u      0.000s      0.436w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.033w      1 calls
HF: Guess                           :      0.117u      0.000s      0.071w      1 calls
SAD Guess                           :      0.117u      0.000s      0.069w      1 calls
HF: Form G                          :     98.050u     11.133s     65.914w     15 calls
JK: D                               :      0.017u      0.000s      0.010w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     98.017u     11.133s     65.889w     15 calls
JK: (Q|mn) Read                     :      0.100u      6.750s      4.145w     76 calls
JK: J                               :      4.650u      0.083s      2.845w     76 calls
JK: J1                              :      2.317u      0.067s      1.441w     76 calls
JK: J2                              :      2.217u      0.000s      1.336w     76 calls
JK: K                               :     92.450u      0.517s     55.755w     76 calls
JK: K1                              :     66.417u      0.383s     40.067w     76 calls
JK: K2                              :     25.983u      0.133s     15.669w     76 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.033u      0.000s      0.009w     15 calls
HF: Form D                          :      0.017u      0.000s      0.008w     15 calls
HF: DIIS                            :      0.567u      0.200s      0.728w     14 calls
HF: Form C                          :      0.700u      0.000s      0.395w     14 calls
Grad: V T Perturb                   :      1.000u      0.000s      0.607w      1 calls
Grad: S                             :      0.033u      0.000s      0.021w      1 calls
Grad: JK                            :     56.233u      1.817s     34.835w      1 calls
JKGrad: Amn                         :     15.783u      0.433s      9.725w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     11.433u      0.450s      7.134w      1 calls
JKGrad: UV                          :      2.300u      0.400s      1.624w      1 calls
JKGrad: ABx                         :      0.367u      0.100s      0.278w      1 calls
JKGrad: Amnx                        :     26.350u      0.400s     16.056w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.400u      0.017s      0.250w      1 calls
| Libint2ERI::Libint2ERI            :      0.267u      0.017s      0.163w      1 calls
Libint2ERI::Libint2ERI              :      0.500u      0.000s      0.302w      2 calls
JK: (A|Q)^-1                        :      9.200u      0.767s      5.637w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :     10.150u      0.083s      6.132w      4 calls
JK: (Q|mn)                          :     13.633u      0.067s      8.233w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.600s      0.356w      4 calls
HF: Form core H                     :      0.717u      0.000s      0.436w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.033w      1 calls
HF: Guess                           :      0.117u      0.000s      0.071w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.069w      1 calls
HF: Form G                          :     98.050u     11.133s     65.914w     15 calls
| JK: D                             :      0.017u      0.000s      0.010w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :     98.017u     11.133s     65.889w     15 calls
| | JK: (Q|mn) Read                 :      0.100u      6.750s      4.145w     76 calls
| | JK: J                           :      4.650u      0.083s      2.845w     76 calls
| | | JK: J1                        :      2.317u      0.067s      1.441w     76 calls
| | | JK: J2                        :      2.217u      0.000s      1.336w     76 calls
| | JK: K                           :     92.450u      0.517s     55.755w     76 calls
| | | JK: K1                        :     66.417u      0.383s     40.067w     76 calls
| | | JK: K2                        :     25.983u      0.133s     15.669w     76 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.033u      0.000s      0.009w     15 calls
HF: Form D                          :      0.017u      0.000s      0.008w     15 calls
HF: DIIS                            :      0.567u      0.200s      0.728w     14 calls
HF: Form C                          :      0.700u      0.000s      0.395w     14 calls
Grad: V T Perturb                   :      1.000u      0.000s      0.607w      1 calls
Grad: S                             :      0.033u      0.000s      0.021w      1 calls
