
Host: node_13

Timers On : Wed Jan 15 13:35:42 2025
Timers Off: Wed Jan 15 13:37:26 2025

Wall Time:      104.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.333u      0.017s      0.217w      1 calls
Libint2ERI::Libint2ERI              :      1.217u      0.017s      0.738w      8 calls
JK: (A|Q)^-1                        :      7.483u      0.667s      4.725w      1 calls
JK: (A|mn)                          :      8.450u      0.050s      5.092w      3 calls
JK: (Q|mn)                          :     10.867u      0.033s      6.552w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.483s      0.293w      3 calls
HF: Form core H                     :      0.633u      0.017s      0.383w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.028w      1 calls
HF: Guess                           :      0.117u      0.000s      0.071w      1 calls
SAD Guess                           :      0.117u      0.000s      0.068w      1 calls
HF: Form G                          :     78.083u      9.767s     53.044w     15 calls
JK: D                               :      0.000u      0.033s      0.008w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     78.050u      9.733s     53.025w     15 calls
JK: (Q|mn) Read                     :      0.083u      5.667s      3.436w     61 calls
JK: J                               :      3.717u      0.083s      2.325w     61 calls
JK: J1                              :      1.817u      0.067s      1.181w     61 calls
JK: J2                              :      1.883u      0.017s      1.096w     61 calls
JK: K                               :     73.500u      0.167s     44.190w     61 calls
JK: K1                              :     53.217u      0.133s     32.027w     61 calls
JK: K2                              :     20.250u      0.033s     12.150w     61 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.017u      0.000s      0.008w     15 calls
HF: Form D                          :      0.000u      0.000s      0.007w     15 calls
HF: DIIS                            :      0.533u      0.217s      1.555w     14 calls
HF: Form C                          :      0.583u      0.000s      0.318w     14 calls
Grad: V T Perturb                   :      0.900u      0.000s      0.535w      1 calls
Grad: S                             :      0.033u      0.000s      0.018w      1 calls
Grad: JK                            :     45.517u      1.567s     28.398w      1 calls
JKGrad: Amn                         :     13.083u      0.383s      8.076w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      9.017u      0.400s      5.655w      1 calls
JKGrad: UV                          :      1.617u      0.367s      1.184w      1 calls
JKGrad: ABx                         :      0.317u      0.067s      0.232w      1 calls
JKGrad: Amnx                        :     21.483u      0.333s     13.095w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.333u      0.017s      0.217w      1 calls
| Libint2ERI::Libint2ERI            :      0.217u      0.017s      0.142w      1 calls
Libint2ERI::Libint2ERI              :      0.550u      0.000s      0.325w      2 calls
JK: (A|Q)^-1                        :      7.483u      0.667s      4.725w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      8.450u      0.050s      5.092w      3 calls
JK: (Q|mn)                          :     10.867u      0.033s      6.552w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.483s      0.293w      3 calls
HF: Form core H                     :      0.633u      0.017s      0.383w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.028w      1 calls
HF: Guess                           :      0.117u      0.000s      0.071w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.068w      1 calls
HF: Form G                          :     78.083u      9.767s     53.044w     15 calls
| JK: D                             :      0.000u      0.033s      0.008w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :     78.050u      9.733s     53.025w     15 calls
| | JK: (Q|mn) Read                 :      0.083u      5.667s      3.436w     61 calls
| | JK: J                           :      3.717u      0.083s      2.325w     61 calls
| | | JK: J1                        :      1.817u      0.067s      1.181w     61 calls
| | | JK: J2                        :      1.883u      0.017s      1.096w     61 calls
| | JK: K                           :     73.500u      0.167s     44.190w     61 calls
| | | JK: K1                        :     53.217u      0.133s     32.027w     61 calls
| | | JK: K2                        :     20.250u      0.033s     12.150w     61 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.017u      0.000s      0.008w     15 calls
HF: Form D                          :      0.000u      0.000s      0.007w     15 calls
HF: DIIS                            :      0.533u      0.217s      1.555w     14 calls
HF: Form C                          :      0.583u      0.000s      0.318w     14 calls
Grad: V T Perturb                   :      0.900u      0.000s      0.535w      1 calls
Grad: S                             :      0.033u      0.000s      0.018w      1 calls
Grad: JK                            :     45.517u      1.567s     28.398w      1 calls
| JKGrad: Amn                       :     13.083u      0.383s      8.076w      1 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.000s      0.137w      1 calls
