
Host: node_13

Timers On : Tue Dec 10 10:19:58 2024
Timers Off: Tue Dec 10 10:21:09 2024

Wall Time:       71.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.400u      0.017s      0.248w      1 calls
Libint2ERI::Libint2ERI              :      0.767u      0.017s      0.461w      4 calls
JK: (A|Q)^-1                        :      8.767u      0.800s      5.359w      1 calls
JK: (A|mn)                          :     10.017u      0.033s      6.023w      4 calls
JK: (Q|mn)                          :     13.283u      0.067s      8.019w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.650s      0.395w      4 calls
HF: Form core H                     :      0.700u      0.000s      0.427w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.034w      1 calls
HF: Guess                           :      0.117u      0.000s      0.067w      1 calls
SAD Guess                           :      0.117u      0.000s      0.064w      1 calls
HF: Form G                          :     69.817u      8.917s     47.259w     11 calls
JK: D                               :      0.000u      0.000s      0.008w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     69.783u      8.917s     47.240w     11 calls
JK: (Q|mn) Read                     :      0.100u      5.683s      3.474w     67 calls
JK: J                               :      3.517u      0.067s      2.171w     67 calls
JK: J1                              :      1.717u      0.033s      1.067w     67 calls
JK: J2                              :      1.750u      0.033s      1.045w     67 calls
JK: K                               :     65.700u      0.183s     39.512w     67 calls
JK: K1                              :     45.267u      0.117s     27.212w     67 calls
JK: K2                              :     20.417u      0.067s     12.282w     67 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.007w     11 calls
HF: Form D                          :      0.017u      0.000s      0.006w     11 calls
HF: DIIS                            :      0.567u      0.133s      0.813w     10 calls
HF: Form C                          :      0.433u      0.000s      0.273w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.400u      0.017s      0.248w      1 calls
| Libint2ERI::Libint2ERI            :      0.267u      0.017s      0.162w      1 calls
Libint2ERI::Libint2ERI              :      0.500u      0.000s      0.299w      2 calls
