
Host: node_13

Timers On : Tue Dec 10 10:41:13 2024
Timers Off: Tue Dec 10 10:43:17 2024

Wall Time:      124.75 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.400u      0.017s      0.248w      1 calls
Libint2ERI::Libint2ERI              :      1.267u      0.017s      0.771w      8 calls
JK: (A|Q)^-1                        :      8.867u      0.817s      5.421w      1 calls
JK: (A|mn)                          :     10.167u      0.033s      6.126w      4 calls
JK: (Q|mn)                          :     13.200u      0.050s      7.972w      4 calls
JK: (Q|mn) Write                    :      0.050u      0.667s      0.406w      4 calls
HF: Form core H                     :      0.700u      0.000s      0.427w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.034w      1 calls
HF: Guess                           :      0.117u      0.000s      0.067w      1 calls
SAD Guess                           :      0.117u      0.000s      0.064w      1 calls
HF: Form G                          :     96.350u     12.183s     65.342w     15 calls
JK: D                               :      0.017u      0.000s      0.010w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     96.283u     12.183s     65.317w     15 calls
JK: (Q|mn) Read                     :      0.167u      7.983s      4.865w     91 calls
JK: J                               :      5.150u      0.150s      3.144w     91 calls
JK: J1                              :      2.583u      0.083s      1.563w     91 calls
JK: J2                              :      2.483u      0.017s      1.497w     91 calls
JK: K                               :     90.300u      0.150s     54.328w     91 calls
JK: K1                              :     62.783u      0.117s     37.742w     91 calls
JK: K2                              :     27.483u      0.033s     16.561w     91 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.017s      0.010w     15 calls
HF: Form D                          :      0.000u      0.000s      0.007w     15 calls
HF: DIIS                            :      0.533u      0.283s      0.700w     14 calls
HF: Form C                          :      0.717u      0.000s      0.373w     14 calls
Grad: V T Perturb                   :      1.050u      0.000s      0.628w      1 calls
Grad: S                             :      0.033u      0.000s      0.021w      1 calls
Grad: JK                            :     54.783u      1.917s     34.033w      1 calls
JKGrad: Amn                         :     16.100u      0.400s      9.910w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     10.833u      0.617s      6.865w      1 calls
JKGrad: UV                          :      2.133u      0.450s      1.557w      1 calls
JKGrad: ABx                         :      0.350u      0.083s      0.261w      1 calls
JKGrad: Amnx                        :     25.350u      0.350s     15.419w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.400u      0.017s      0.248w      1 calls
| Libint2ERI::Libint2ERI            :      0.250u      0.017s      0.160w      1 calls
Libint2ERI::Libint2ERI              :      0.500u      0.000s      0.299w      2 calls
JK: (A|Q)^-1                        :      8.867u      0.817s      5.421w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :     10.167u      0.033s      6.126w      4 calls
JK: (Q|mn)                          :     13.200u      0.050s      7.972w      4 calls
JK: (Q|mn) Write                    :      0.050u      0.667s      0.406w      4 calls
HF: Form core H                     :      0.700u      0.000s      0.427w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.034w      1 calls
HF: Guess                           :      0.117u      0.000s      0.067w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.064w      1 calls
HF: Form G                          :     96.350u     12.183s     65.342w     15 calls
| JK: D                             :      0.017u      0.000s      0.010w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :     96.283u     12.183s     65.317w     15 calls
| | JK: (Q|mn) Read                 :      0.167u      7.983s      4.865w     91 calls
| | JK: J                           :      5.150u      0.150s      3.144w     91 calls
| | | JK: J1                        :      2.583u      0.083s      1.563w     91 calls
| | | JK: J2                        :      2.483u      0.017s      1.497w     91 calls
| | JK: K                           :     90.300u      0.150s     54.328w     91 calls
| | | JK: K1                        :     62.783u      0.117s     37.742w     91 calls
| | | JK: K2                        :     27.483u      0.033s     16.561w     91 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.017s      0.010w     15 calls
HF: Form D                          :      0.000u      0.000s      0.007w     15 calls
HF: DIIS                            :      0.533u      0.283s      0.700w     14 calls
HF: Form C                          :      0.717u      0.000s      0.373w     14 calls
Grad: V T Perturb                   :      1.050u      0.000s      0.628w      1 calls
Grad: S                             :      0.033u      0.000s      0.021w      1 calls
Grad: JK                            :     54.783u      1.917s     34.033w      1 calls
| JKGrad: Amn                       :     16.100u      0.400s      9.910w      1 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.159w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :     10.833u      0.617s      6.865w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      2.133u      0.450s      1.557w      1 calls
| JKGrad: ABx                       :      0.350u      0.083s      0.261w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :     25.350u      0.350s     15.419w      1 calls
| | Libint2ERI::Libint2ERI          :      0.250u      0.000s      0.152w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: node_13

Timers On : Tue Dec 10 10:43:18 2024
Timers Off: Tue Dec 10 10:45:25 2024

Wall Time:      127.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.383u      0.017s      0.245w      1 calls
Libint2ERI::Libint2ERI              :      1.250u      0.017s      0.765w      8 calls
JK: (A|Q)^-1                        :      8.950u      0.817s      5.470w      1 calls
JK: (A|mn)                          :     10.150u      0.067s      6.121w      4 calls
JK: (Q|mn)                          :     13.183u      0.067s      7.978w      4 calls
JK: (Q|mn) Write                    :      0.033u      0.683s      0.412w      4 calls
HF: Form core H                     :      0.700u      0.017s      0.429w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.034w      1 calls
HF: Guess                           :      0.100u      0.000s      0.066w      1 calls
SAD Guess                           :      0.100u      0.000s      0.064w      1 calls
HF: Form G                          :     99.950u     12.050s     67.283w     15 calls
JK: D                               :      0.033u      0.000s      0.009w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     99.917u     12.050s     67.259w     15 calls
JK: (Q|mn) Read                     :      0.117u      7.800s      4.751w     91 calls
JK: J                               :      5.017u      0.050s      3.089w     91 calls
JK: J1                              :      2.533u      0.033s      1.547w     91 calls
JK: J2                              :      2.350u      0.000s      1.459w     91 calls
JK: K                               :     94.183u      0.383s     56.694w     91 calls
JK: K1                              :     66.683u      0.250s     40.165w     91 calls
JK: K2                              :     27.450u      0.133s     16.503w     91 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.017u      0.000s      0.010w     15 calls
HF: Form D                          :      0.017u      0.000s      0.007w     15 calls
HF: DIIS                            :      0.650u      0.183s      0.653w     14 calls
HF: Form C                          :      0.617u      0.000s      0.362w     14 calls
Grad: V T Perturb                   :      1.150u      0.000s      0.692w      1 calls
Grad: S                             :      0.050u      0.000s      0.020w      1 calls
Grad: JK                            :     55.300u      1.983s     34.487w      1 calls
JKGrad: Amn                         :     16.300u      0.417s     10.033w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     10.900u      0.567s      6.876w      1 calls
JKGrad: UV                          :      2.117u      0.483s      1.567w      1 calls
JKGrad: ABx                         :      0.400u      0.100s      0.300w      1 calls
JKGrad: Amnx                        :     25.583u      0.383s     15.587w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.383u      0.017s      0.245w      1 calls
| Libint2ERI::Libint2ERI            :      0.250u      0.017s      0.160w      1 calls
Libint2ERI::Libint2ERI              :      0.500u      0.000s      0.297w      2 calls
JK: (A|Q)^-1                        :      8.950u      0.817s      5.470w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :     10.150u      0.067s      6.121w      4 calls
JK: (Q|mn)                          :     13.183u      0.067s      7.978w      4 calls
JK: (Q|mn) Write                    :      0.033u      0.683s      0.412w      4 calls
HF: Form core H                     :      0.700u      0.017s      0.429w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.034w      1 calls
HF: Guess                           :      0.100u      0.000s      0.066w      1 calls
| SAD Guess                         :      0.100u      0.000s      0.064w      1 calls
HF: Form G                          :     99.950u     12.050s     67.283w     15 calls
| JK: D                             :      0.033u      0.000s      0.009w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :     99.917u     12.050s     67.259w     15 calls
| | JK: (Q|mn) Read                 :      0.117u      7.800s      4.751w     91 calls
| | JK: J                           :      5.017u      0.050s      3.089w     91 calls
| | | JK: J1                        :      2.533u      0.033s      1.547w     91 calls
| | | JK: J2                        :      2.350u      0.000s      1.459w     91 calls
