
Host: node_13

Timers On : Tue Dec 10 10:58:10 2024
Timers Off: Tue Dec 10 10:59:22 2024

Wall Time:       72.39 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.400u      0.017s      0.249w      1 calls
Libint2ERI::Libint2ERI              :      0.733u      0.017s      0.462w      4 calls
JK: (A|Q)^-1                        :      8.883u      0.767s      5.409w      1 calls
JK: (A|mn)                          :     10.117u      0.033s      6.105w      4 calls
JK: (Q|mn)                          :     13.567u      0.067s      8.162w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.650s      0.401w      4 calls
HF: Form core H                     :      0.733u      0.017s      0.448w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.036w      1 calls
HF: Guess                           :      0.133u      0.000s      0.080w      1 calls
SAD Guess                           :      0.117u      0.000s      0.077w      1 calls
HF: Form G                          :     70.383u      8.950s     47.674w     11 calls
JK: D                               :      0.017u      0.000s      0.008w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     70.367u      8.933s     47.655w     11 calls
JK: (Q|mn) Read                     :      0.200u      5.717s      3.527w     67 calls
JK: J                               :      3.733u      0.100s      2.282w     67 calls
JK: J1                              :      1.833u      0.083s      1.137w     67 calls
JK: J2                              :      1.817u      0.017s      1.084w     67 calls
JK: K                               :     66.000u      0.150s     39.723w     67 calls
JK: K1                              :     45.767u      0.117s     27.584w     67 calls
JK: K2                              :     20.200u      0.033s     12.120w     67 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.007w     11 calls
HF: Form D                          :      0.017u      0.000s      0.006w     11 calls
HF: DIIS                            :      0.517u      0.167s      0.602w     10 calls
HF: Form C                          :      0.467u      0.000s      0.269w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.400u      0.017s      0.249w      1 calls
| Libint2ERI::Libint2ERI            :      0.250u      0.017s      0.162w      1 calls
Libint2ERI::Libint2ERI              :      0.483u      0.000s      0.300w      2 calls
JK: (A|Q)^-1                        :      8.883u      0.767s      5.409w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :     10.117u      0.033s      6.105w      4 calls
JK: (Q|mn)                          :     13.567u      0.067s      8.162w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.650s      0.401w      4 calls
HF: Form core H                     :      0.733u      0.017s      0.448w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.036w      1 calls
HF: Guess                           :      0.133u      0.000s      0.080w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.077w      1 calls
HF: Form G                          :     70.383u      8.950s     47.674w     11 calls
| JK: D                             :      0.017u      0.000s      0.008w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     70.367u      8.933s     47.655w     11 calls
| | JK: (Q|mn) Read                 :      0.200u      5.717s      3.527w     67 calls
| | JK: J                           :      3.733u      0.100s      2.282w     67 calls
| | | JK: J1                        :      1.833u      0.083s      1.137w     67 calls
| | | JK: J2                        :      1.817u      0.017s      1.084w     67 calls
| | JK: K                           :     66.000u      0.150s     39.723w     67 calls
| | | JK: K1                        :     45.767u      0.117s     27.584w     67 calls
| | | JK: K2                        :     20.200u      0.033s     12.120w     67 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.007w     11 calls
HF: Form D                          :      0.017u      0.000s      0.006w     11 calls
HF: DIIS                            :      0.517u      0.167s      0.602w     10 calls
HF: Form C                          :      0.467u      0.000s      0.269w     10 calls

**************************************************************************************

Host: node_13

Timers On : Tue Dec 10 10:59:22 2024
Timers Off: Tue Dec 10 11:00:37 2024

Wall Time:       74.71 seconds

