
Host: node_13

Timers On : Mon Dec  9 16:53:54 2024
Timers Off: Mon Dec  9 16:55:05 2024

Wall Time:       71.41 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.350u      0.017s      0.219w      1 calls
Libint2ERI::Libint2ERI              :      0.933u      0.017s      0.584w      8 calls
JK: (A|Q)^-1                        :      4.567u      0.500s      2.813w      1 calls
JK: (A|mn)                          :      5.700u      0.017s      3.425w      2 calls
JK: (Q|mn)                          :      6.350u      0.017s      3.819w      2 calls
JK: (Q|mn) Write                    :      0.000u      0.350s      0.217w      2 calls
HF: Form core H                     :      0.367u      0.000s      0.226w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.023w      1 calls
HF: Guess                           :      0.100u      0.000s      0.069w      1 calls
SAD Guess                           :      0.100u      0.000s      0.066w      1 calls
HF: Form G                          :     53.183u      8.617s     37.277w     15 calls
JK: D                               :      0.017u      0.000s      0.006w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     53.150u      8.600s     37.261w     15 calls
JK: (Q|mn) Read                     :      0.067u      4.267s      2.618w     46 calls
JK: J                               :      2.867u      0.033s      1.743w     46 calls
JK: J1                              :      1.417u      0.033s      0.880w     46 calls
JK: J2                              :      1.400u      0.000s      0.836w     46 calls
JK: K                               :     49.467u      0.217s     29.791w     46 calls
JK: K1                              :     37.167u      0.183s     22.331w     46 calls
JK: K2                              :     12.300u      0.033s      7.452w     46 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.007w     15 calls
HF: Form D                          :      0.000u      0.017s      0.005w     15 calls
HF: DIIS                            :      0.483u      0.217s      0.628w     14 calls
HF: Form C                          :      0.400u      0.000s      0.233w     14 calls
Grad: V T Perturb                   :      0.517u      0.000s      0.315w      1 calls
Grad: S                             :      0.033u      0.000s      0.014w      1 calls
Grad: JK                            :     30.600u      1.483s     19.263w      1 calls
JKGrad: Amn                         :      8.967u      0.383s      5.611w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      5.867u      0.350s      3.730w      1 calls
JKGrad: UV                          :      0.950u      0.283s      0.745w      1 calls
JKGrad: ABx                         :      0.217u      0.083s      0.171w      1 calls
JKGrad: Amnx                        :     14.600u      0.367s      8.989w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
