
Host: node_13

Timers On : Tue Dec 10 11:46:02 2024
Timers Off: Tue Dec 10 11:46:44 2024

Wall Time:       41.53 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.167u      0.000s      0.110w      1 calls
Libint2ERI::Libint2ERI              :      0.567u      0.000s      0.346w      8 calls
JK: (A|Q)^-1                        :      2.500u      0.333s      1.550w      1 calls
JK: (A|mn)                          :      3.367u      0.000s      2.007w      2 calls
JK: (Q|mn)                          :      3.117u      0.017s      1.881w      2 calls
JK: (Q|mn) Write                    :      0.000u      0.217s      0.141w      2 calls
HF: Form core H                     :      0.217u      0.000s      0.145w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.020w      1 calls
HF: Guess                           :      0.117u      0.000s      0.065w      1 calls
SAD Guess                           :      0.117u      0.000s      0.063w      1 calls
HF: Form G                          :     29.167u      6.367s     21.522w     14 calls
JK: D                               :      0.017u      0.000s      0.004w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     14 calls
JK: JK                              :     29.133u      6.367s     21.512w     14 calls
JK: (Q|mn) Read                     :      0.033u      2.533s      1.573w     28 calls
JK: J                               :      1.517u      0.033s      0.928w     28 calls
JK: J1                              :      0.800u      0.033s      0.477w     28 calls
JK: J2                              :      0.700u      0.000s      0.442w     28 calls
JK: K                               :     26.850u      0.083s     16.138w     28 calls
JK: K1                              :     21.583u      0.067s     12.980w     28 calls
JK: K2                              :      5.250u      0.017s      3.155w     28 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.000u      0.017s      0.004w     14 calls
HF: Form D                          :      0.000u      0.000s      0.003w     14 calls
HF: DIIS                            :      0.417u      0.117s      0.549w     13 calls
HF: Form C                          :      0.217u      0.000s      0.124w     13 calls
Grad: V T Perturb                   :      0.300u      0.000s      0.184w      1 calls
Grad: S                             :      0.017u      0.000s      0.009w      1 calls
Grad: JK                            :     17.200u      1.017s     10.934w      1 calls
JKGrad: Amn                         :      5.017u      0.350s      3.210w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      2.850u      0.183s      1.824w      1 calls
JKGrad: UV                          :      0.450u      0.117s      0.341w      1 calls
JKGrad: ABx                         :      0.150u      0.033s      0.105w      1 calls
JKGrad: Amnx                        :      8.733u      0.333s      5.444w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.167u      0.000s      0.110w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.000s      0.073w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.134w      2 calls
JK: (A|Q)^-1                        :      2.500u      0.333s      1.550w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      3.367u      0.000s      2.007w      2 calls
