
Host: node_13

Timers On : Tue Dec 10 12:23:30 2024
Timers Off: Tue Dec 10 12:24:11 2024

Wall Time:       41.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.183u      0.017s      0.110w      1 calls
Libint2ERI::Libint2ERI              :      0.567u      0.017s      0.344w      8 calls
JK: (A|Q)^-1                        :      2.483u      0.300s      1.549w      1 calls
JK: (A|mn)                          :      3.367u      0.017s      2.032w      2 calls
JK: (Q|mn)                          :      3.200u      0.017s      1.928w      2 calls
JK: (Q|mn) Write                    :      0.000u      0.233s      0.137w      2 calls
HF: Form core H                     :      0.233u      0.000s      0.136w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.012w      1 calls
HF: Guess                           :      0.100u      0.000s      0.066w      1 calls
SAD Guess                           :      0.100u      0.000s      0.063w      1 calls
HF: Form G                          :     29.217u      6.433s     21.436w     14 calls
JK: D                               :      0.000u      0.000s      0.004w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     14 calls
JK: JK                              :     29.217u      6.400s     21.426w     14 calls
JK: (Q|mn) Read                     :      0.017u      2.533s      1.570w     28 calls
JK: J                               :      1.550u      0.017s      0.940w     28 calls
JK: J1                              :      0.783u      0.000s      0.487w     28 calls
JK: J2                              :      0.750u      0.000s      0.444w     28 calls
JK: K                               :     27.100u      0.100s     16.296w     28 calls
JK: K1                              :     21.883u      0.083s     13.111w     28 calls
JK: K2                              :      5.217u      0.017s      3.182w     28 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.000u      0.000s      0.005w     14 calls
HF: Form D                          :      0.000u      0.000s      0.003w     14 calls
HF: DIIS                            :      0.400u      0.150s      0.427w     13 calls
HF: Form C                          :      0.200u      0.000s      0.128w     13 calls
Grad: V T Perturb                   :      0.300u      0.000s      0.183w      1 calls
Grad: S                             :      0.017u      0.000s      0.009w      1 calls
Grad: JK                            :     17.200u      0.983s     10.917w      1 calls
JKGrad: Amn                         :      5.100u      0.350s      3.272w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      2.867u      0.150s      1.806w      1 calls
JKGrad: UV                          :      0.417u      0.133s      0.339w      1 calls
JKGrad: ABx                         :      0.150u      0.033s      0.104w      1 calls
JKGrad: Amnx                        :      8.667u      0.300s      5.386w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.183u      0.017s      0.110w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.017s      0.072w      1 calls
Libint2ERI::Libint2ERI              :      0.233u      0.000s      0.132w      2 calls
JK: (A|Q)^-1                        :      2.483u      0.300s      1.549w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      3.367u      0.017s      2.032w      2 calls
JK: (Q|mn)                          :      3.200u      0.017s      1.928w      2 calls
JK: (Q|mn) Write                    :      0.000u      0.233s      0.137w      2 calls
HF: Form core H                     :      0.233u      0.000s      0.136w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.012w      1 calls
HF: Guess                           :      0.100u      0.000s      0.066w      1 calls
| SAD Guess                         :      0.100u      0.000s      0.063w      1 calls
HF: Form G                          :     29.217u      6.433s     21.436w     14 calls
| JK: D                             :      0.000u      0.000s      0.004w     14 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     14 calls
| JK: JK                            :     29.217u      6.400s     21.426w     14 calls
| | JK: (Q|mn) Read                 :      0.017u      2.533s      1.570w     28 calls
| | JK: J                           :      1.550u      0.017s      0.940w     28 calls
| | | JK: J1                        :      0.783u      0.000s      0.487w     28 calls
| | | JK: J2                        :      0.750u      0.000s      0.444w     28 calls
| | JK: K                           :     27.100u      0.100s     16.296w     28 calls
| | | JK: K1                        :     21.883u      0.083s     13.111w     28 calls
| | | JK: K2                        :      5.217u      0.017s      3.182w     28 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.000u      0.000s      0.005w     14 calls
HF: Form D                          :      0.000u      0.000s      0.003w     14 calls
HF: DIIS                            :      0.400u      0.150s      0.427w     13 calls
HF: Form C                          :      0.200u      0.000s      0.128w     13 calls
Grad: V T Perturb                   :      0.300u      0.000s      0.183w      1 calls
Grad: S                             :      0.017u      0.000s      0.009w      1 calls
Grad: JK                            :     17.200u      0.983s     10.917w      1 calls
| JKGrad: Amn                       :      5.100u      0.350s      3.272w      1 calls
| | Libint2ERI::Libint2ERI          :      0.117u      0.000s      0.072w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      2.867u      0.150s      1.806w      1 calls
