
Host: node_13

Timers On : Tue Dec 10 13:18:59 2024
Timers Off: Tue Dec 10 13:19:24 2024

Wall Time:       25.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.183u      0.017s      0.112w      1 calls
Libint2ERI::Libint2ERI              :      0.317u      0.017s      0.206w      4 calls
JK: (A|Q)^-1                        :      2.517u      0.333s      1.548w      1 calls
JK: (A|mn)                          :      3.650u      0.017s      2.207w      2 calls
JK: (Q|mn)                          :      3.200u      0.000s      1.925w      2 calls
JK: (Q|mn) Write                    :      0.017u      0.233s      0.138w      2 calls
HF: Form core H                     :      0.217u      0.000s      0.136w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.015w      1 calls
HF: Guess                           :      0.100u      0.000s      0.064w      1 calls
SAD Guess                           :      0.100u      0.000s      0.061w      1 calls
HF: Form G                          :     22.850u      5.150s     16.973w     11 calls
JK: D                               :      0.017u      0.000s      0.003w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     22.833u      5.150s     16.965w     11 calls
JK: (Q|mn) Read                     :      0.050u      2.100s      1.275w     22 calls
JK: J                               :      1.133u      0.000s      0.726w     22 calls
JK: J1                              :      0.567u      0.000s      0.371w     22 calls
JK: J2                              :      0.567u      0.000s      0.348w     22 calls
JK: K                               :     21.167u      0.050s     12.703w     22 calls
JK: K1                              :     16.867u      0.033s     10.127w     22 calls
JK: K2                              :      4.300u      0.017s      2.573w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.004w     11 calls
HF: Form D                          :      0.000u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.350u      0.100s      0.366w     10 calls
HF: Form C                          :      0.133u      0.000s      0.097w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.183u      0.017s      0.112w      1 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.017s      0.073w      1 calls
Libint2ERI::Libint2ERI              :      0.200u      0.000s      0.134w      2 calls
JK: (A|Q)^-1                        :      2.517u      0.333s      1.548w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      3.650u      0.017s      2.207w      2 calls
JK: (Q|mn)                          :      3.200u      0.000s      1.925w      2 calls
JK: (Q|mn) Write                    :      0.017u      0.233s      0.138w      2 calls
HF: Form core H                     :      0.217u      0.000s      0.136w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.015w      1 calls
HF: Guess                           :      0.100u      0.000s      0.064w      1 calls
| SAD Guess                         :      0.100u      0.000s      0.061w      1 calls
HF: Form G                          :     22.850u      5.150s     16.973w     11 calls
| JK: D                             :      0.017u      0.000s      0.003w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     22.833u      5.150s     16.965w     11 calls
| | JK: (Q|mn) Read                 :      0.050u      2.100s      1.275w     22 calls
| | JK: J                           :      1.133u      0.000s      0.726w     22 calls
| | | JK: J1                        :      0.567u      0.000s      0.371w     22 calls
| | | JK: J2                        :      0.567u      0.000s      0.348w     22 calls
| | JK: K                           :     21.167u      0.050s     12.703w     22 calls
| | | JK: K1                        :     16.867u      0.033s     10.127w     22 calls
| | | JK: K2                        :      4.300u      0.017s      2.573w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.004w     11 calls
HF: Form D                          :      0.000u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.350u      0.100s      0.366w     10 calls
HF: Form C                          :      0.133u      0.000s      0.097w     10 calls

**************************************************************************************

Host: node_13

Timers On : Tue Dec 10 13:19:25 2024
Timers Off: Tue Dec 10 13:19:51 2024

Wall Time:       26.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.183u      0.017s      0.111w      1 calls
Libint2ERI::Libint2ERI              :      0.333u      0.017s      0.207w      4 calls
